Company; Symbol; Valor Number; Country; Traded Currency; Trading platform; Index-member; Class of Share; Nominal Value; Industry Sector; Listing Segment; Accounting Rules; Next General Meeting; Primary listing
ams AG; AMS;24924656; AT; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; BS;0; Technology Hardware & Equipment; International Reporting Standard; IFRS; ; true
Anglo American plc; AAM;3186826; GB; CHF; XSWX; ; RS;0.55; ; International Reporting Standard; ; ; false
APG SGA SA; APGN;1910702; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;2.6; Media; Swiss Reporting Standard; Swiss GAAP FER; 24.05.18; true
Arbonia AG; ARBN;11024060; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;4.2; Construction & Materials; International Reporting Standard; IFRS; 20.04.18; true
Arundel AG; ARON;227101; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;9.5; Real Estate; International Reporting Standard; IFRS; ; true
ARYZTA AG; ARYN;4323836; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI; RS;0.02; Food Producers; International Reporting Standard; IFRS; 07.12.17; true
Ascom Holding AG; ASCN;1133920; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.5; Technology Hardware & Equipment; Swiss Reporting Standard; Swiss GAAP FER; ; true
Autoneum Holding AG; AUTN;12748036; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;0.05; Automobiles & Parts; International Reporting Standard; IFRS; 28.03.18; true
Bachem Holding AG; BANB;1253020; CH; CHF; XSWX; SPI,SSCI,SPIEX,SLIFE; RS;0.05; Pharmaceuticals & Biotechnology; Swiss Reporting Standard; Swiss GAAP FER; 25.04.18; true
Bâloise Holding AG; BALN;1241051; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI; RS;0.1; Nonlife Insurance; International Reporting Standard; IFRS; 27.04.18; true
Bank Cler AG; BC;1811647; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;20; Banks; Swiss Reporting Standard; Bank law; 06.04.18; true
Bank Linth LLB AG; LINN;130775; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;20; Banks; Swiss Reporting Standard; Bank law; 27.03.18; true
Banque Cantonale de Genève; BCGE;35049471; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;50; Banks; Swiss Reporting Standard; Bank law; 02.05.18; true
Banque Cantonale du Jura SA; BCJ;35066567; CH; CHF; XSWX; SPI,SSCI,SPIEX; RS;14; Banks; Swiss Reporting Standard; Bank law; ; true
Banque Cantonale Vaudoise; BCVN;1525171; CH; CHF; XSWX; SPI,SMCI,SPIEX; RS;10; Banks; Swiss Reporting Standard; Bank law; ; true
Banque Profil de Gestion S.A.; BPDG;249229; CH; CHF; XSWX; SPI,SSCI,SPIEX; BS;1; General Financial; Swiss Reporting Standard; Bank law; ; true
Barry Callebaut AG; BARN;900296; CH; CHF; XSWX; SPI,SMCI,SPIEX,SMIM,SMIEXP; RS;7.29; Food Producers; International Reporting Standard; IFRS; 13.12.17; true
Basellandschaftliche Kantonalbank; BLKB;147355; CH; CHF; XSWX; SPI,SSCI,SPIEX; PC;100; Banks; Swiss Reporting Standard; Bank law; ; true
BASF SE; BAS;11450563; DE; CHF; XSWX; ; RS;0; ; International Reporting Standard; ; ; false
Basilea Pharmaceutica AG; BSLN;1143244; CH; CHF; XSWX; SPI,SMCI,SPIEX,SLIFE,SBIOM; RS;1; Pharmaceuticals & Biotechnology; International Reporting Standard; US GAAP; 18.04.18; true
Basler Kantonalbank; BSKP;923646; CH; CHF; XSWX; SPI,SSCI,SPIEX; PC;8.5; Banks; Swiss Reporting Standard; Bank law; 26.04.18; true
Baxter International Inc.; BAX;911702; US; CHF; XSWX; ; RS;1; ; International Reporting Standard; ; ; false
